Department,SheetNo.,SheetName,ActionType,Item Code,Item Name,Upload date,Trans.Status,PersonalName,Trans.Date,Trans.Time,Deletion,Deletion date
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6225000659162,SKINISTA HYDR.BOOST F/VER.DRY SK CR100G#,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6251001239133,FINE CARE ADULT DIAPER(L)(110-156)CM36P#,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6281006602755,TRESEMME PRO CURLS HR COND.250M#,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6291108642528,CLOUD WOODY CLOUD HR&B.MIST 250M,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6294008903935,FULLA FLORAL GIRL PERFUM.F/GIRL30M+GIFT#,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6624000807076,TELOFILL MICELLAR WATER CLEAN.SK.250M#,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6772304518065,BUBBLES NATURAL BOTTLE W.HAND(4)M 150M,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6805699997341,SENSODYNE HERBAL FRESH T.PASTE 75M#,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6941607307564,UNDERWATER ADHESIVE REPAIR PATCH/62091,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,6942138919356,P.E.HYDRO SWIM BUD.FISH SWIM CAP/26025™,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,8001090153296,PANTENE PRO-V MOIST.RENEW.OIL REPLA.275M,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
NonPharma,NVlbGp3Yfg,مشاكل اماكن وسيطة,Edit,8809052588519,PUREDERM EXFOLIA.FOOT MASK 1PAIR/ADS353!,,Done,10000522,14/09/2026,18:33:54,OK,2026-09-22 15:32:35
